user_name,tweets
جرمنی کی چڑیا,جب خفیہ ادارے اور فوج دہشت گردوں اور شرپسندوں کی جاسوسی اور ان پرنگاہ رکھنے کی بجائے سیاست دانوں پر نگاہ رکھیں، بلاگرز کی جاسوسی پر توانائی خرچ کریں اور سوشل میڈیا کے لیے ٹرولز بھرتی کر کے گندے ٹرینڈز بنانے میں وسائل لگائیں، تو مدرسے، اسکول، چوک، بازار اور سرحدیں کیسےمحفوظ ہوں؟
Khalid khan,"افغانستان میں نا دہشتگردی کے ٹریننگ کیمپ ہیں، نا انکے جرنیل اور افسر طالبان ، داعش ، القاعدہ کے ہمراہ لڑتے مرے۔ نا وہ طالبان کو پرائم ٹائم ٹی وی پر بلاتے ہیں۔ 
جبکہ پاکستانی فوج خود دہشتگردوں کی ساتھی ہے۔ بس وردی کا فرق ہے."
Miss_301,"Quote Tweet
Miss_301
@Miss3zero1
 · 38m
ہماری آنٹی(سندھی ہیں) سبزی کاٹتے ہوئے کہتی ہیں اتنی مہنگائی ہوگئی ہے آٹا اسی روپے کلو ہو گیا ہے آئی سیڈ یس بہت مہنگائی ہوگئی ہے کہتی ہیں ایسا لگتا ہے زرداری کا دور واپس آگیا ہے ہر چیز مہنگی، نوازشریف کا دور اچھا تھا سب سے آئی سیڈ آپ دعا کریں واپس آجائیں ان کا دور "
Qumandaan khan,ناپاک فوج اور آئی ایس آئی کو چیلنج دیتا ہوں اگر مرد کے بچے ہو اور ت رنڈی ماؤں نے ہلالی چنے ہو تو پشتونوں کے ساتھ سرعام اعلان یہ جنگ کردو پھر دیکھنا تم کو تمہاری ہیرا منڈی میں کیسے ٹوکتے ہے  یہ پیٹھ پیچھے جنجر گھونپنا اور بعد میں مگرمچھ کے آنسو بہانہ تم حرامیوں کا اصلیت دکھاتا ہے
Naqib Ullah Maseed,فوج نے دو ٹوک الفاظ میں بتا دیا تھا کہ اپوزیشن جلسے کرے گی تو دھماکے ہونگے
jawad khan,"Quote Tweet
jawad khan
@jawadjan00
 · 38m
#Peshawarblast
We congratulate @OfficialDGISPR  #ISI Pak #Army @ImranKhanPTI  #Bajwa. To continue the genocide of the enemy in this way. No one mentions the name of the army. But the army is to be congratulated on this victory. It may be recalled that a bomb blast took place in
Show this thread"
Dr Fatima K - PTI (FOLLOW 4 ANY MEDICAL ADVICE ),"Quote Tweet
Hamid Mir
@HamidMirPAK
 · 5h
پشاور کے ایک دینی مدرسے کی مسجد میں مشکوک شخص نے بیگ میں بم رکھا اور چلا گیا تھوڑی دیر بعد بم دھماکہ ہو گیا کئی شہید اور زخمی ہو گئے خفیہ اداروں سے گذارش ہے کہ صرف تھریٹ الرٹ جاری کر دینا کافی نہیں ہوتا وہ سیاستدانوں اور صحافیوں کی بجائے بم دھماکے کرنے والوں کا پیچھا کریں"
Inzamam Ali SATTI,"اس کا کریڈٹ رینجز اور پاک فوج اور سندھ پولیس کو جاتا ہے ۔
آپ پہ ہوتا تو آج بھی عزیر بلوچ 
لوگوں کے گلے کاٹ رہا ہوتا"
Dr Fital,سید صاحب اللہ پاک ہر پاکستانی کی حفاظت فرمائے۔ کیا آپ نہیں سمجھتے کہ مولوی ڈیزل کا فوج کے خلاف بولنا ہمارے اداروکو کمزور کر رہا ہے ؟ آپ نہیں سمجھتے کہ ڈیزل ان بچوں کی لاشوں کا سودا کر گا ؟ آپ نہیں جانتے کہ اس کے پیچھے ڈیزل کا ہاتھ ہے؟ اگر جانتے ہیں تو سید بنیں منافق کو ننگا کریں
Muhammad Irfan Malik,"اب اپنی پالیسی یہ خود ڈیفیڈ کریں فوج جانیں دے اور خواجہ آصف جیسے امریکہ میں کہیں ہم لبرل ہیں آپ کے ساتھ ہیں جائیں اب لڑیں طالبان سے ہمیں تو اسلامی نظام منظور ہے اب سارے جائیں بارڈر پر تنخواہیں خود لیں لندن سے اپنے بیٹے واپس بلا لیں۔ 
@OfficialDGISPR
 @KhurramDehwar"
