user_name,tweets
Asghar chohan,پاکستان کی فوج کمزور نہیں ہے  انشاءاللہ فتح پاکستان کی ہو گی
Pakistani24news,"نواز شریف کی تھپکی کے بغیر ایاز صادق اس سطح کا بیان نہیں دے سکتے ، فوج کیخلاف بیان بازی غیر ملکی...
لاہور( این این آئی) وفاقی وزیر ریلوے شیخ رشید احمد نے کہا ہے کہ نواز شریف کی تھپکی کے بغیر ایاز صادق اس سطح کا بیان نہیں دے سکتے ، فوج کے خلاف جس طرح کی زبان استعمال کی جارہی ہے یہ غیر ملکی ایجنڈا …
pakistani24news.com"
Saqib Khan Madakhail,"فوج کے خلاف بولو گے تو""اللہ ہی حافظ تمھارا پھر""
یہ اعتراف جرم نہیں تو اور کیا ھے کہ اے این پی کے ورکرز کو ھمارے تربیت یافتہ تحریک طالبان پاکستان اور دیگر دھشتگرد تنظیموں کے زریعے سے مروایا گیا ۔"
Dibarjan,ادارے دھشت گرد ھے۰ ناپاک فوج کا پتلون اتارنے کا وقت اگٻا ھے
"⁩ابو العاصم⁦
⁩","پاکستان فوج زندہ باد
پاکستان پائندہ باد آمین"
Frau Butt.de,حکومت نے کیا سونا ہے پاکستانی فوج سو رہی ہے
Faisal Rajput,"Quote Tweet
Javeria Siddique
@javerias
 · Oct 31
یہ ٹانگیں کٹ تو سکتی ہیں کانپتی نہیں "
IηŇỖ℃乇Ｎţ,یہ غلط ہے ویسے کچھ راز امانت ہوتےہیں اسطرح کہہ کر وہ فوج کو تو بدنام کر رہے ہیں ملک کی بھی ہرزہ سرائی کر رہے ہیں انڈیا  کو۔موقع مل گیا پاکستان کا مذاق اڑانے کا
Val Eed,ہمیشہ کیطرح اس دفعہ بھی گڈ کاپ کےچکر میں اگر نواز اور ن لیگ کوڈیل دی گئی تووقتی طورتوشاید ن لیگ تنقیدبندکردے لیکن فوج ہمیشہ کیلئےاپنی رہی سہی حمایت اوراعتمادبھی کھودےگی۔اورنوازکاکیابھروسہ کل اقتدارسےباہرہواتو پھر یہ ہی کرے گا۔لیکن اس فیصلے سے جو لوگ متنفر ہوں گے وہ واپس نہیں آنے۔
Sajjad Hussain Qamar,"پہلی بات اگر یہی حربا فوج نے اپنا لیا تو اس کے کیا اس کے ان بچوں کے راز بھی کھول دیں گے جو اس کی بہنوں کے پیٹ میں ہیں۔ 

دوسری بات اس کے پاس اسکے گھر کے راز نہیں ہیں کیونکہ اپنے گھر نہیں جاتا لیکن سارا حلقہ اس کے گھر جاتا ہے۔ اب انکے پاس راز بھی ہیں اور وہ ان سےپیسےبھی لیتے ہیں۔"
